Date,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
2022-06-20,中通客车,海汽集团,特力A,豆神教育,集泰股份,浙江世宝,宏柏新材,九鼎新材,郑州煤电,科陆电子
2022-06-21,中通客车,海汽集团,特力A,豆神教育,集泰股份,浙江世宝,江苏雷利,科远智慧,九鼎新材,宏柏新材
2022-06-22,海汽集团,集泰股份,浙江世宝,豆神教育,特力A,科远智慧,江苏雷利,郑州煤电,京山轻机,深中华A
2022-06-23,海汽集团,集泰股份,浙江世宝,特力A,豆神教育,京山轻机,深中华A,广东鸿图,银邦股份,江苏雷利
2022-06-24,浙江世宝,集泰股份,京山轻机,广东鸿图,银邦股份,豆神教育,特力A,松芝股份,小康股份,万集科技
2022-06-27,浙江世宝,集泰股份,京山轻机,广东鸿图,松芝股份,神马电力,金刚玻璃,万集科技,银邦股份,金辰股份
2022-06-28,浙江世宝,集泰股份,京山轻机,广东鸿图,松芝股份,振邦智能,金刚玻璃,神马电力,合力科技,长安汽车
2022-06-29,海汽集团,集泰股份,松芝股份,京山轻机,广东鸿图,兴民智通,巨轮智能,传艺科技,宝馨科技,万集科技
2022-06-30,海汽集团,集泰股份,松芝股份,兴民智通,传艺科技,京山轻机,江苏雷利,宝馨科技,广东鸿图,巨轮智能
2022-07-01,海汽集团,集泰股份,传艺科技,宝馨科技,江苏雷利,兴民智通,巨轮智能,松芝股份,京山轻机,广东鸿图
2022-07-04,海汽集团,集泰股份,传艺科技,江苏雷利,巨轮智能,宝馨科技,广东鸿图,泰嘉股份,京山轻机,振邦智能
2022-07-05,集泰股份,巨轮智能,传艺科技,海汽集团,江苏雷利,丰元股份,泰嘉股份,宝馨科技,科信技术,京山轻机
2022-07-06,中通客车,浙江世宝,集泰股份,巨轮智能,传艺科技,丰元股份,科信技术,泰嘉股份,江苏雷利,*ST恒康
2022-07-07,中通客车,浙江世宝,传艺科技,巨轮智能,科信技术,集泰股份,广东鸿图,*ST恒康,泰嘉股份,赣能股份
2022-07-08,中通客车,浙江世宝,巨轮智能,传艺科技,科信技术,集泰股份,赣能股份,泰嘉股份,*ST恒康,大连重工
2022-07-11,传艺科技,中通客车,科信技术,巨轮智能,赣能股份,浙江世宝,宝馨科技,泰嘉股份,宝明科技,金智科技
2022-07-12,中通客车,传艺科技,科信技术,宝馨科技,金智科技,巨轮智能,浙江世宝,泰嘉股份,大连重工,*ST恒康
2022-07-13,宝馨科技,科信技术,传艺科技,中通客车,巨轮智能,泰嘉股份,浙江世宝,大连重工,金智科技,合力科技
2022-07-14,科信技术,宝馨科技,泰嘉股份,中通客车,巨轮智能,传艺科技,浙江世宝,合力科技,金智科技,江苏北人
2022-07-15,科信技术,泰嘉股份,传艺科技,宝馨科技,金智科技,巨轮智能,合力科技,中通客车,山西路桥,浙江世宝
