,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
0,长江健康,sz.002435,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,4.66,2022-06-14 00:00:00,4.66,2022-06-10 00:00:00,4.72,5.52,4.72,,True,,,,,,,,,,
1,三祥新材,sh.603663,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-31 00:00:00,15.94,2022-07-13 00:00:00,15.66,2022-07-11 00:00:00,22.51,,,,False,,,,,,,,,,
2,达实智能,sz.002421,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,2.78,2022-06-14 00:00:00,2.83,2022-06-06 00:00:00,2.92,3.22,2.92,,True,,,,,,,,,,
3,康尼机电,sh.603111,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.39,2022-07-15 00:00:00,4.38,2022-06-28 00:00:00,4.73,,,,False,,,,,,,,,,
4,华宇软件,sz.300271,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.65,2022-07-15 00:00:00,6.72,2022-07-01 00:00:00,7.57,,,,False,,,,,,,,,,
5,海波重科,sz.300517,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-16 00:00:00,12.29,2022-07-11 00:00:00,12.05,2022-06-21 00:00:00,13.09,,,,False,,,,,,,,,,
6,浙版传媒,sh.601921,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-20 00:00:00,7.43,2022-07-12 00:00:00,7.4,2022-06-01 00:00:00,8.09,,,,False,,,,,,,,,,
7,武汉控股,sh.600168,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.05,2022-06-22 00:00:00,6.15,2022-06-01 00:00:00,6.66,6.9,6.66,True,True,0.7299,True,33295154,7556612.41025641,,,,,,
8,北斗星通,sz.002151,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,29.52,2022-07-13 00:00:00,29.05,2022-06-28 00:00:00,32.2,,,,False,,,,,,,,,,
9,梦百合,sh.603313,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,10.52,2022-06-14 00:00:00,10.65,2022-06-06 00:00:00,11.47,12.0,11.47,,True,,,,,,,,,,
10,居然之家,sz.000785,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.0,2022-07-15 00:00:00,3.95,2022-06-07 00:00:00,4.68,,,,False,,,,,,,,,,
11,厦工股份,sh.600815,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,2.8,2022-06-30 00:00:00,2.79,2022-06-28 00:00:00,2.87,2.96,2.87,,True,,,,,,,,,,
12,乐歌股份,sz.300729,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,16.19,2022-07-15 00:00:00,16.2,2022-07-06 00:00:00,18.54,,,,False,,,,,,,,,,
13,全聚德,sz.002186,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,7.97,2022-06-14 00:00:00,7.97,2022-05-31 00:00:00,8.59,,,,False,,,,,,,,,,
14,安诺其,sz.300067,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,3.31,2022-07-15 00:00:00,3.34,2022-06-28 00:00:00,3.6,,,,False,,,,,,,,,,
15,生益科技,sh.600183,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-26 00:00:00,15.73,2022-07-15 00:00:00,15.55,2022-06-28 00:00:00,17.17,,,,False,,,,,,,,,,
16,鸿远电子,sh.603267,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-25 00:00:00,118.23,2022-07-15 00:00:00,118.0,2022-06-28 00:00:00,140.3,,,,False,,,,,,,,,,
17,首创环保,sh.600008,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,2.87,2022-07-11 00:00:00,2.84,2022-07-01 00:00:00,2.93,,,,False,,,,,,,,,,
18,华达新材,sh.605158,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,6.34,2022-07-15 00:00:00,6.22,2022-06-28 00:00:00,6.57,,,,False,,,,,,,,,,
19,江苏索普,sh.600746,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,10.41,2022-07-12 00:00:00,10.3,2022-06-07 00:00:00,13.64,,,,False,,,,,,,,,,
20,株冶集团,sh.600961,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,8.39,2022-07-15 00:00:00,8.44,2022-06-27 00:00:00,9.98,,,,False,,,,,,,,,,
21,建科院,sz.300675,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,15.36,2022-06-22 00:00:00,15.43,2022-05-30 00:00:00,16.89,,,,False,,,,,,,,,,
22,建新股份,sz.300107,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.17,2022-06-22 00:00:00,5.23,2022-06-06 00:00:00,5.54,,,,False,,,,,,,,,,
23,四川九洲,sz.000801,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.33,2022-07-15 00:00:00,6.25,2022-06-01 00:00:00,7.12,,,,False,,,,,,,,,,
24,太龙药业,sh.600222,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.53,2022-07-15 00:00:00,5.59,2022-06-07 00:00:00,6.29,,,,False,,,,,,,,,,
25,常熟银行,sh.601128,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-06 00:00:00,7.07,2022-06-13 00:00:00,7.17,2022-06-10 00:00:00,7.27,7.6,7.27,,True,,,,,,,,,,
26,好想你,sz.002582,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,6.97,2022-07-15 00:00:00,6.92,2022-07-04 00:00:00,7.61,,,,False,,,,,,,,,,
27,新华医疗,sh.600587,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-26 00:00:00,18.89,2022-07-15 00:00:00,19.05,2022-06-20 00:00:00,22.65,,,,False,,,,,,,,,,
28,晨光新材,sh.605399,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-08 00:00:00,40.4,2022-07-12 00:00:00,40.69,2022-06-14 00:00:00,50.5,,,,False,,,,,,,,,,
29,格林达,sh.603931,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,18.7,2022-07-12 00:00:00,18.64,2022-06-28 00:00:00,20.46,,,,False,,,,,,,,,,
30,宜通世纪,sz.300310,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,3.95,2022-07-15 00:00:00,3.96,2022-06-29 00:00:00,4.37,,,,False,,,,,,,,,,
31,映翰通,sh.688080,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-27 00:00:00,37.09,2022-07-12 00:00:00,37.52,2022-06-06 00:00:00,44.3,,,,False,,,,,,,,,,
32,海能达,sz.002583,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.4,2022-06-22 00:00:00,4.47,2022-06-06 00:00:00,4.86,,,,False,,,,,,,,,,
33,通程控股,sz.000419,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,4.76,2022-06-14 00:00:00,4.8,2022-06-01 00:00:00,5.25,,,,False,,,,,,,,,,
