,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,688076.SH,诺泰生物,28.26,4.71,20.0,99752.0,270659493.0,18.77,28.26,23.84,23.84,23.55,7.16,6.89,84.94,3.28,6024574188.0,4089773607.0
1,300360.SZ,炬华科技,17.56,2.26,14.77,419647.0,706857895.59,17.78,17.91,15.19,15.3,15.3,3.12,9.63,22.54,3.09,8857037933.0,7655152618.0
2,688176.SH,亚虹医药-U,12.2,1.33,12.24,264830.0,313655184.0,16.84,12.57,10.74,10.74,10.87,4.47,11.33,-32.03,2.44,6954000000.0,2852824674.0
3,300499.SZ,高澜股份,11.93,1.29,12.12,470094.0,553275693.57,9.02,12.3,11.34,11.76,10.64,4.9,17.29,1872.7,3.13,3681838079.0,3243900282.0
4,300056.SZ,中创环保,7.48,0.79,11.81,201215.0,146762932.29,15.99,7.67,6.6,6.62,6.69,4.19,5.22,-135.93,5.86,2883468514.0,2883468514.0
5,300988.SZ,津荣天宇,25.45,2.35,10.17,160261.0,408163059.62,8.57,26.5,24.52,24.84,23.1,4.26,32.29,39.05,3.7,3384442800.0,1263020639.0
6,601015.SH,陕西黑猫,5.02,0.46,10.09,625461.0,307469809.0,9.87,5.02,4.57,4.58,4.56,8.53,3.06,32.06,1.17,10253338148.0,10253338148.0
7,000711.SZ,京蓝科技,3.06,0.28,10.07,400832.0,120886072.14,10.07,3.06,2.78,2.8,2.78,1.09,4.89,-5.41,6.39,3132423517.0,2510424291.0
8,002238.SZ,天威视讯,8.09,0.74,10.07,221010.0,176315427.95,4.9,8.09,7.73,7.82,7.35,1.38,2.75,59.2,2.82,6492703604.0,6492703604.0
9,002103.SZ,广博股份,6.78,0.62,10.06,236525.0,160364004.24,0.0,6.78,6.78,6.78,6.16,0.93,5.61,130.94,4.37,3622370621.0,2857610073.0
10,002137.SZ,实益达,8.64,0.79,10.06,786380.0,660769387.44,9.81,8.64,7.87,7.87,7.85,0.88,20.13,24.78,3.31,4989641939.0,3374496867.0
11,600603.SH,广汇物流,9.08,0.83,10.06,339412.0,296871574.0,11.15,9.08,8.16,8.21,8.25,2.12,2.7,68.61,2.07,11393773291.0,11393773291.0
12,600121.SH,郑州煤电,5.58,0.51,10.06,1285062.0,701324725.0,10.26,5.58,5.06,5.07,5.07,5.69,10.55,91.64,4.03,6798739172.0,6798739172.0
13,002289.SZ,宇顺电子,8.43,0.77,10.05,59021.0,48428659.5,10.7,8.43,7.61,7.71,7.66,0.43,2.23,-114.02,9.2,2362538969.0,2227199534.0
