,股票代码,股票名称,最新价格,涨跌幅,成交额（亿）,流通市值（亿）,换手率（%）,连板天数,首次封板时间,最终封板时间,封板资金（亿）,炸板次数,所属行业,涨停统计,封成比
0,000957.SZ,中通客车,9.32,10.04,7.12,55.26,12.89,8, 09:25:00, 13:01:54,1.15,1,汽车整车,8天8板,0.16
1,001318.SZ,阳光乳业,16.48,10.01,0.16,11.65,1.4,3, 09:25:00, 09:25:00,2.11,0,食品饮料,3天3板,12.94
2,002121.SZ,科陆电子,4.54,9.93,0.05,53.88,0.1,1, 09:25:00, 09:25:00,2.41,0,电网设备,1天1板,44.4
3,002496.SZ,辉丰股份,3.76,9.94,7.66,38.34,20.39,2, 09:25:00, 10:53:33,1.02,2,农药兽药,8天4板,0.13
4,002571.SZ,德力股份,6.57,10.05,1.17,19.6,5.99,2, 09:25:00, 10:57:45,0.15,1,家用轻工,2天2板,0.13
5,002576.SZ,通达动力,12.86,10.01,0.71,21.14,3.37,2, 09:25:00, 09:25:00,0.21,0,电机,2天2板,0.3
6,002846.SZ,英联股份,6.71,10.0,0.22,14.95,1.44,1, 09:25:00, 09:25:00,1.22,0,包装材料,1天1板,5.67
7,002862.SZ,实丰文化,11.8,9.97,0.2,9.84,2.02,1, 09:25:00, 09:25:00,0.18,0,家用轻工,1天1板,0.89
8,600297.SH,广汇汽车,2.6,10.17,10.8,210.89,5.14,1, 09:25:02, 14:05:42,0.56,3,汽车服务,1天1板,0.05
9,603272.SH,联翔股份,23.76,10.0,0.09,6.16,1.54,3, 09:25:02, 09:25:02,1.09,0,装修装饰,3天3板,11.51
10,600098.SH,广州发展,6.42,9.93,1.36,173.27,0.79,1, 09:25:03, 09:41:26,0.64,2,电力行业,1天1板,0.47
11,603097.SH,江苏华辰,26.35,10.02,3.69,10.54,35.01,9, 09:25:03, 09:25:03,1.07,0,电网设备,9天9板,0.29
12,603166.SH,福达股份,10.07,10.05,0.74,65.07,1.14,4, 09:25:03, 09:25:03,2.31,0,汽车零部,8天5板,3.1
13,603937.SH,丽岛新材,13.71,10.03,0.21,28.64,0.74,4, 09:25:03, 09:25:03,5.28,0,有色金属,4天4板,25.0
14,603590.SH,康辰药业,30.36,10.0,1.09,48.58,2.24,2, 09:25:05, 09:30:48,0.37,1,生物制品,2天2板,0.34
15,002860.SZ,星帅尔,18.77,10.02,3.36,30.47,11.24,2, 09:30:06, 14:04:33,0.76,1,家电行业,2天2板,0.22
16,600593.SH,大连圣亚,17.3,9.98,1.17,22.28,5.31,3, 09:30:37, 09:38:43,0.23,3,旅游酒店,3天3板,0.2
17,600817.SH,宇通重工,10.15,9.97,2.22,19.25,11.65,2, 09:31:01, 14:56:21,0.01,13,工程机械,2天2板,0.0
18,002137.SZ,实益达,5.72,10.0,1.49,22.34,6.83,2, 09:31:51, 09:31:51,0.58,0,电子元件,2天2板,0.39
19,600283.SH,钱江水利,13.61,10.02,2.7,48.04,5.68,1, 09:34:57, 13:27:37,0.09,5,公用事业,1天1板,0.03
20,002529.SZ,海源复材,18.78,10.02,6.48,48.83,13.5,4, 09:35:06, 11:15:03,0.14,3,专用设备,4天4板,0.02
21,002406.SZ,远东传动,5.57,10.08,1.26,27.64,4.62,1, 09:36:48, 09:37:12,1.35,1,汽车零部,1天1板,1.07
22,000010.SZ,美丽生态,3.67,9.88,1.2,19.16,6.36,1, 09:38:54, 09:38:54,0.26,0,工程建设,1天1板,0.22
23,003039.SZ,顺控发展,21.45,10.0,4.59,26.28,17.9,1, 09:52:27, 10:21:09,0.37,3,公用事业,3天2板,0.08
24,000595.SZ,宝塔实业,4.05,10.05,2.68,46.09,5.99,1, 09:55:30, 10:58:54,0.29,2,通用设备,1天1板,0.11
25,605196.SH,华通线缆,8.03,10.0,3.94,26.01,15.49,1, 09:55:31, 14:40:57,0.15,7,电网设备,1天1板,0.04
26,605577.SH,龙版传媒,12.72,10.03,1.58,5.65,29.24,2, 10:04:08, 10:04:08,0.25,0,文化传媒,2天2板,0.16
27,002424.SZ,贵州百灵,7.95,9.96,6.82,74.41,9.59,1, 10:24:30, 10:24:30,1.01,0,中药,1天1板,0.15
28,002277.SZ,友阿股份,3.89,9.89,3.64,54.23,6.87,1, 10:32:18, 13:07:39,0.42,3,商业百货,1天1板,0.12
29,002016.SZ,世荣兆业,7.22,10.06,1.58,49.59,3.3,1, 10:34:06, 10:34:06,0.23,0,房地产开,1天1板,0.14
30,002140.SZ,东华科技,11.11,10.0,4.0,59.51,6.87,1, 10:40:18, 10:40:18,0.34,0,工程建设,1天1板,0.08
31,601015.SH,陕西黑猫,5.93,10.02,7.51,121.12,6.33,1, 10:43:50, 14:52:12,0.06,7,煤炭行业,1天1板,0.01
32,000756.SZ,新华制药,31.01,10.0,37.26,135.31,28.8,2, 11:01:15, 14:54:54,0.56,4,化学制药,22天16板,0.01
33,001219.SZ,青岛食品,31.28,9.99,3.7,6.94,55.52,1, 11:16:33, 13:32:33,0.37,6,食品饮料,1天1板,0.1
34,000572.SZ,海马汽车,5.89,10.09,4.61,96.72,5.01,1, 13:06:39, 13:06:39,1.08,0,汽车整车,1天1板,0.23
