,股票代码,股票名称,报告日期,基金家数,基金数量与上期相比,基金持股数（万股）,持股数与上期相比,基金持股市值,占流通盘比率,本季度当月平均涨幅,本季度第2个月平均涨幅,本季度第1个月平均涨幅,下季度第1个月平均涨幅,下季度第2个月平均涨幅
1,688981,中芯国际,2020/12/31,108,9,16379.63,5874.43,944065.35,14.95,-1.72,-4.93,23.66,-0.69,3.45
2,688600,皖仪科技,2020/12/31,2,-4,0.72,-1.22,12.2,0.02,-17.49,3.81,-8.41,-10.42,6.57
3,688599,天合光能,2020/12/31,19,-7,1155.38,1008.1,26746.98,3.72,8.75,35.15,-2.36,1.95,-10.44
4,688598,金博股份,2020/12/31,9,-14,23.63,9.67,5109.87,1.23,68.71,6.61,12.93,6.15,-20.65
5,688596,正帆科技,2020/12/31,20,5,21.9,6.61,428.6,0.38,-13.32,4.31,-3.28,-18.99,1.82
6,688595,芯海科技,2020/12/31,27,17,22.59,19.65,1432.78,1.11,-12.7,21.07,3.67,-8.89,8.13
7,688589,力合微,2020/12/31,12,7,4.2,2.49,148.22,0.16,-22.95,-1.42,-2.86,-14.72,4.94
8,688586,江航装备,2020/12/31,24,5,31.09,7.32,938.83,0.33,-11.17,19.07,-9.74,-22.01,1.7
9,688585,上纬新材,2020/12/31,11,0,5.41,0,67.73,0.14,-13.45,6.05,2.89,-6.88,6.94
10,688580,伟思医疗,2020/12/31,16,1,140.84,63.61,14301.4,8.59,3.88,-13.72,-29.29,2.77,25.97
11,688579,山大地纬,2020/12/31,10,-3,9.24,-2.82,132.85,0.24,-17.78,4,-8.55,-13.72,7.17
12,688577,浙海德曼,2020/12/31,1,0,0.15,0,6.18,0.01,-21.52,11.83,2.89,-6.32,10.07
13,688569,铁科轨道,2020/12/31,3,-1,1.73,-0.7,34.85,0.03,-13.66,6.09,-3.62,-3.59,-0.74
14,688568,中科星图,2020/12/31,25,3,23.89,2.66,1048.87,0.48,-20.35,5.42,-8.7,16.63,-2.41
15,688567,孚能科技,2020/12/31,50,6,1385.25,383,63199.76,8.98,51.1,-4.21,20.94,-15.93,-10.56
16,688561,奇安信,2020/12/31,55,13,293.63,-92.08,36888.82,4.01,19.33,20.7,-9.16,-8.35,-3.29
17,688559,海目星,2020/12/31,10,3,5.49,1.74,169.88,0.12,39.38,1.19,-4.2,-19.61,-6.51
18,688556,高测股份,2020/12/31,6,-1,3.27,0.3,88.14,0.09,-3.23,5.6,-4.87,-26.95,5.23
19,688551,科威尔,2020/12/31,2,-1,0.44,-0.22,14.74,0.02,-16.4,5.74,2.48,-19.52,3.12
20,688550,瑞联新材,2020/12/31,7,-4,1.05,-10.05,88.2,0.06,-15.2,2.46,-2.2,-4.94,7.07
21,688536,思瑞浦,2020/12/31,54,24,741.35,530.98,320014.1,41,12.38,37.3,17.91,16.89,-6.28
22,688528,秦川物联,2020/12/31,13,-2,9.9,-0.83,161.77,0.25,-19.76,0.09,-3.11,-10.38,6.7
23,688526,科前生物,2020/12/31,48,11,241.88,193.8,9977.32,3.03,-12.38,18.94,23.2,-4.98,4.98
24,688521,芯原股份,2020/12/31,15,-6,12.58,-6.81,980.79,0.28,-17.21,16.45,-7.23,5.77,-9.53
25,688520,神州细胞,2020/12/31,2,-29,1.3,-26.01,59.38,0.03,-11.87,-7.24,-4.89,-4.4,11.28
26,688519,南亚新材,2020/12/31,12,-3,14.83,4.75,459.5,0.29,-3.62,3.56,-6.42,-16.92,18.83
27,688518,联赢激光,2020/12/31,1,-19,1.41,-25.23,21.52,0.02,-15.69,1.4,-4.28,-13.07,8.39
28,688516,奥特维,2020/12/31,8,-9,376.17,235.82,29905.35,17.81,8.47,2.5,-1.39,-19.09,0.32
29,688513,苑东生物,2020/12/31,8,-2,2.81,-0.77,129.88,0.11,-11.33,4.03,1.47,-1.98,3.04
30,688508,芯朋微,2020/12/31,30,5,121.21,1.51,11430.69,4.52,-14.36,13.06,0.62,-6.75,-2.48
31,688505,复旦张江,2020/12/31,1,-23,2.27,-37,39.23,0.02,-15.98,-3.82,-5.17,1.13,-9.55
32,688500,慧辰资讯,2020/12/31,8,-1,2.22,-0.26,85.9,0.13,-17.92,-3.47,-5.97,-11.39,13.31
33,688488,艾迪药业,2020/12/31,13,7,10.19,5.74,249.47,0.19,-20.97,12.04,-5.4,-10.42,0.04
34,688418,震有科技,2020/12/31,6,-1,2.4,-1.35,61.54,0.06,-22.87,3.83,-5.25,-18.12,3.18
35,688408,中信博,2020/12/31,48,14,355.47,131.02,60570.34,11.23,23.6,0.07,30.76,11.74,-4.78
36,688396,华润微,2020/12/31,29,-5,3997.61,3413.39,249810.49,12.15,3.08,30.31,-14.37,-4.02,13.33
37,688393,安必平,2020/12/31,7,2,2.3,0.85,82.73,0.1,-14.31,-6.11,9.51,-0.75,1
38,688390,固德威,2020/12/31,56,4,331.34,94.37,78696.61,15.82,40.06,-5.93,19.11,25.77,-25.95
39,688388,嘉元科技,2020/12/31,44,33,1646.44,1284.4,145117.53,9.83,40.68,20.27,3.51,-9.44,1.2
40,688379,华光新材,2020/12/31,2,-1,0.81,-0.49,19.22,0.04,-18.58,5.37,-1.57,-8.4,2.8
41,688378,奥来德,2020/12/31,3,-1,0.4,-24.97,21.4,0.03,-7.11,-5.17,-0.04,-7.66,-1.39
42,688377,迪威尔,2020/12/31,4,-3,2.58,-2.54,48.24,0.06,-21.69,5.33,-10.63,-14.55,4.75
43,688369,致远互联,2020/12/31,2,-6,107.9,-91.99,8286.94,1.85,10.33,-5.09,-10.53,-22.41,-3.07
44,688368,晶丰明源,2020/12/31,11,-11,145.49,-52.55,25037.08,9.47,-10.44,22.78,5.36,2.65,-0.52
45,688363,华熙生物,2020/12/31,9,-1,230.1,32.68,33693.05,2.47,0.13,9.95,4.81,32.33,-9.62
46,688356,键凯科技,2020/12/31,15,5,47.29,-0.82,5179.5,3.32,6.56,-4.26,24.9,-14.41,4.3
47,688339,亿华通,2020/12/31,46,23,71.35,18.36,19318.62,4.42,14.61,53.59,-6.56,19.76,-12.86
48,688338,赛科希德,2020/12/31,15,0,3.61,0.55,197.16,0.18,-17.23,1.27,-9.6,-10.33,3.14
49,688336,三生国健,2020/12/31,24,-1,30.57,-1.44,742.6,0.51,-7.61,-1.27,-11.84,-24.7,5.04
50,688335,复洁环保,2020/12/31,4,-3,1.46,-1.22,53.47,0.08,-14.2,5.5,-15.63,-11.05,-0.7
51,688333,铂力特,2020/12/31,4,3,91.87,87.93,13851.41,2.07,18.34,10.53,17.61,6.97,14.66
52,688330,宏力达,2020/12/31,10,-156,2.88,-42.96,218.49,0.12,-11.46,2.87,4.83,-7.97,3.56
53,688321,微芯生物,2020/12/31,2,1,0.2,-0.77,7.4,0,-18.22,-0.57,-7.88,0.62,1.32
54,688313,仕佳光子,2020/12/31,7,6,5.01,4.29,114.73,0.11,-14.54,12.15,-11.2,-10.44,1.07
55,688311,盟升电子,2020/12/31,36,5,109.91,64.8,13123.02,3.99,23.36,7.7,-11.43,-22.22,-10.13
56,688309,恒誉环保,2020/12/31,5,-4,1.34,-1,43.49,0.07,-16.26,-1.04,-7.83,-15.45,5.9
57,688301,奕瑞科技,2020/12/31,23,12,13.27,11.09,2242.77,0.85,-8.64,11.23,17.67,1.47,17.9
58,688300,联瑞新材,2020/12/31,3,2,32.6,31.88,1526.66,0.62,-4.08,-0.25,2.22,-7.83,27.75
59,688299,长阳科技,2020/12/31,3,-4,47.2,18.88,1179.06,0.21,13.74,-19.84,0.67,-9.44,9.28
60,688298,东方生物,2020/12/31,4,1,9.08,-3.85,1843.38,0.15,39.08,-7.72,-1.17,-29.14,1.99
61,688289,圣湘生物,2020/12/31,28,-2,15.02,1.24,1661.34,0.43,9.48,-13.53,10.41,16.36,-16.97
62,688286,敏芯股份,2020/12/31,13,6,1.63,0.59,191.54,0.13,-8.26,21.38,-4.13,-4.09,-15.18
63,688277,天智航,2020/12/31,21,-6,16.2,-5.29,607.86,0.44,-21.13,-13.3,-10.29,4.87,-0.36
64,688268,华特气体,2020/12/31,3,1,1.64,0.6,100.91,0.05,-4.55,2.31,-2.09,0.58,3.17
65,688258,卓易信息,2020/12/31,2,0,20.59,-1.8,1144.97,0.49,-4.96,-7.6,-7.64,-20.4,-5.07
66,688256,寒武纪,2020/12/31,30,-1,17.38,-0.39,2494.57,0.53,-11.7,-11.09,16.72,5.59,0.71
67,688229,博睿数据,2020/12/31,9,-10,1.29,-1.16,130.75,0.12,3.97,-1.16,-1.38,9.49,1.77
68,688215,瑞晟智能,2020/12/31,3,1,0.31,0.12,14.17,0.03,-20.54,-1.9,-0.41,-13.38,2.2
69,688208,道通科技,2020/12/31,12,-16,1329.76,-751.42,91101.9,4.91,0.2,-7.4,18.85,2.28,10.64
70,688202,美迪西,2020/12/31,3,-1,168.9,153.77,26555.42,6.44,17.03,-19.18,0.01,54.02,15.66
71,688200,华峰测控,2020/12/31,11,5,126.97,94.68,47427.4,3.54,30.29,14.23,3.22,2.84,13.27
72,688198,佰仁医疗,2020/12/31,4,-1,40.36,6.02,3134.36,1.77,-4.76,-18.39,10.02,39.48,-4.35
73,688188,柏楚电子,2020/12/31,26,-2,749.78,226.9,197657.03,29.17,-1.22,6.19,9.8,17.63,-4.46
74,688186,广大特材,2020/12/31,1,0,0.56,-0.25,20.19,0.01,3.81,9.76,-2.44,-24.14,7.9
75,688185,康希诺,2020/12/31,40,0,14.02,-0.24,5004.98,0.58,1.72,-2.21,16.02,5.52,36.49
76,688180,君实生物,2020/12/31,31,-8,401.63,-7.18,25920.53,5.53,14.79,-16.2,-0.16,12.64,13.75
77,688169,石头科技,2020/12/31,88,19,549.8,128.37,569592.07,12.22,28.09,7.03,33.65,13.85,-16.71
78,688166,博瑞医药,2020/12/31,9,3,376.78,267.29,17256.35,2.09,-5.94,-16.21,4.43,0.38,1.23
79,688165,埃夫特,2020/12/31,12,3,25.19,3.71,330.05,0.2,-10.92,5.25,-6.14,-25.13,1.57
80,688158,优刻得,2020/12/31,2,-2,772,-155.99,32130.64,2.45,-25.59,1.44,-13.47,-1.32,13.01
81,688157,松井股份,2020/12/31,6,-23,4.38,-95.49,363.81,0.23,-12.49,-5.25,2.11,20.28,-7.61
82,688156,路德环境,2020/12/31,2,-1,0.52,-0.26,10.38,0.02,-16.46,2.68,-3.17,-12.02,7.61
83,688155,先惠技术,2020/12/31,9,2,2.05,0.48,137.64,0.11,-11.27,11.88,34.8,29.74,3.86
84,688139,海尔生物,2020/12/31,11,1,359.22,-65.83,23453.41,1.98,-7.76,9.9,-4.15,24.64,-1.84
85,688127,蓝特光学,2020/12/31,20,9,209.11,201.57,7513.9,5.66,18.8,16.13,0.08,-22.28,-5.74
86,688126,沪硅产业,2020/12/31,13,-27,8711.75,3201.46,288533.32,17.58,-5.07,10.68,-4.92,-1.97,-2.72
87,688123,聚辰股份,2020/12/31,1,0,0.67,0,40.06,0.01,-6.72,6.12,-0.68,-20.75,-2.95
88,688122,西部超导,2020/12/31,90,27,3634.61,-171.42,284542.26,11.71,36.5,12.07,-10.59,-26.81,3.45
89,688116,天奈科技,2020/12/31,22,18,1665.99,1497.46,102744.87,9.44,36.17,-0.43,9.68,19.19,-14.54
90,688111,金山办公,2020/12/31,205,15,4130.13,1356.13,1684405.24,19.14,25.87,0.45,0.1,2.63,-21.4
91,688106,金宏气体,2020/12/31,7,-27,8.37,-52.57,254.56,0.08,9.01,-2.01,-9.02,-9.76,-7.89
92,688099,晶晨股份,2020/12/31,37,20,6176.85,4726.17,483249.12,29.2,12.74,-4.48,9.85,4.39,13.3
93,688095,福昕软件,2020/12/31,28,-8,63.1,18.64,15212.42,5.52,-19.88,8.42,-9.85,10.79,14.35
94,688093,世华科技,2020/12/31,4,-4,1.64,-0.97,38.85,0.04,-11.07,13.43,-12.49,1.28,0.45
95,688088,虹软科技,2020/12/31,10,-4,317.17,102.9,21902.89,1.19,3.08,4.51,-10.36,-16.65,-0.22
96,688077,大地熊,2020/12/31,3,-2,0.61,-0.29,22.9,0.03,-18.13,17.64,-12.94,-0.21,26
97,688069,德林海,2020/12/31,7,-3,1.17,-0.45,73.15,0.08,-25.02,-3.05,-7.28,20.49,19.57
