,ts_code,name,area,industry,list_date,close,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
0,000001.SZ,平安银行,深圳,银行,19910403,22.37,1.31,1.04,15.3967,16.0949,1.503,3.1467,2.8642,0.9745,0.9745,1940591.8198,1940575.268,860111.1956,43411039.0089,43410668.7452
1,000002.SZ,万科A,深圳,全国地产,19910129,29.7,1.2619,0.74,8.8765,8.5209,1.7025,0.9379,0.8951,3.4229,3.4229,1161773.2201,971431.4935,647150.4144,34504664.637,28851515.357
2,000004.SZ,国华网安,深圳,互联网,19910114,19.46,3.3958,0.74,1036.3159,45.5712,2.2157,29.6723,21.8423,,,16505.2625,11512.5619,7859.0544,321192.4083,224034.4546
3,000005.SZ,世纪星源,深圳,环境保护,19901210,2.18,0.4785,0.68,13.2099,22.4992,1.422,4.1758,11.4682,,,105853.6842,105794.6242,87889.9267,230761.0316,230632.2808
4,000006.SZ,深振业A,深圳,区域地产,19920427,5.07,0.5236,0.49,8.5432,7.9226,0.9295,1.8343,2.3319,3.5306,3.5306,134999.5046,134830.7972,86230.9824,684447.4883,683592.1418
5,000007.SZ,全新好,深圳,酒店餐饮,19920413,3.1,9.8392,0.91,48.1879,,6.5555,25.5585,24.1046,,,34644.8044,30894.8044,19569.4167,107398.8936,95773.8936
6,000008.SZ,神州高铁,北京,运输设备,19920507,2.53,0.7248,0.53,16.1964,159.0827,0.9788,2.1848,2.6923,0.3861,0.3861,278079.5346,266518.2273,160276.3816,703541.2225,674291.1151
7,000009.SZ,中国宝安,深圳,综合类,19910625,7.13,2.6994,0.76,61.068,29.5644,2.7182,1.5391,1.8152,0.2805,0.2805,257921.3965,255189.7988,215093.6458,1838979.557,1819503.2654
8,000010.SZ,美丽生态,深圳,建筑工程,19951027,3.73,0.6287,0.6,65.8003,106.0594,6.4162,1.6154,1.9299,,,81985.4713,52217.1498,44997.6834,305805.8079,194769.9688
9,000011.SZ,深物业A,深圳,区域地产,19920330,10.74,2.0057,0.32,7.8268,7.0559,2.0461,1.6157,1.358,3.352,3.352,59597.9092,52647.5543,18702.6342,640081.5448,565434.7332
10,000012.SZ,南玻A,深圳,玻璃,19920228,6.8,2.8068,0.96,38.9253,29.0438,2.0543,1.994,2.0315,1.0294,1.0294,307069.2107,195705.9361,187042.5914,2088070.6328,1330800.3655
11,000014.SZ,沙河股份,深圳,全国地产,19920602,7.64,1.6833,0.3,73.0858,33.3964,1.707,3.5172,2.6679,0.144,0.144,20170.5187,20170.5187,13309.1796,154102.7629,154102.7629
12,000016.SZ,深康佳A,深圳,家用电器,19920327,7.2,6.1011,1.34,81.7661,45.9989,2.0352,0.3145,0.401,0.6944,0.6944,240794.5408,159657.43,107282.7368,1733720.6938,1149533.496
13,000017.SZ,*ST中华A,深圳,文教休闲,19920331,2.34,0.5531,0.51,,,104.1908,16.9706,13.4325,,,55134.7947,30298.1008,23947.2261,129015.4196,70897.5559
14,000019.SZ,深粮控股,深圳,其他商业,19921012,6.61,1.6015,1.22,20.958,22.1103,1.6927,0.6888,0.6615,3.0257,3.0257,115253.5254,41618.4832,27068.4852,761825.8029,275098.174
15,000020.SZ,深华发A,深圳,元器件,19920428,9.2,8.1426,0.48,477.1172,375.6731,7.7907,3.6104,3.8684,,,28316.1227,18116.5391,6187.5497,260508.3288,166672.1597
16,000021.SZ,深科技,深圳,IT设备,19940202,20.11,3.2739,0.71,83.9822,56.2719,4.0893,2.2374,2.1582,0.2984,0.2984,147125.9363,146902.4359,82381.6201,2958702.579,2954207.9859
17,000023.SZ,深天地A,深圳,其他建材,19930429,16.85,0.6592,1.14,46.0022,,4.9889,1.2772,1.4554,0.0593,0.0593,13875.624,13875.624,7173.6341,233804.2644,233804.2644
18,000025.SZ,特力A,深圳,汽车服务,19930621,15.65,1.4411,0.48,30.71,34.548,5.2194,11.813,15.3545,0.2684,0.2684,43105.832,39277.832,11753.1327,674606.2708,614698.0708
19,000026.SZ,飞亚达,深圳,其他商业,19930603,11.89,4.6277,0.87,23.5748,20.2012,1.853,1.3741,1.3021,1.6824,1.6824,42809.1881,35671.6368,19373.9041,509001.2465,424135.7616
20,000027.SZ,深圳能源,深圳,火力发电,19930903,5.89,1.9023,0.82,16.4712,7.2151,1.0253,1.3461,1.4198,0.7074,0.7074,475738.9916,475738.9916,124668.8147,2802102.6605,2802102.6605
21,000028.SZ,国药一致,深圳,医药商业,19930809,39.05,4.5456,1.6,13.1507,12.794,1.2334,0.3212,0.2983,1.5365,1.5365,42812.6983,36773.3625,13323.9404,1671835.8686,1435999.8056
22,000029.SZ,深深房A,深圳,区域地产,19930915,6.71,3.3588,0.47,12.2875,21.7729,1.8347,2.6634,3.6439,2.459,2.459,101166.0,89166.0,24877.5738,678823.86,598303.86
23,000030.SZ,富奥股份,吉林,汽车配件,19930929,6.72,1.2194,0.38,13.6554,12.5679,1.7224,1.209,1.0749,2.4335,2.4335,181055.2111,175988.087,55216.3837,1216691.0186,1182639.9446
24,000031.SZ,大悦城,深圳,全国地产,19931008,4.08,0.595,0.68,7.3527,24.8607,0.9059,0.5176,0.5977,4.1667,4.1667,428631.3339,189074.8427,103339.4287,1748815.8423,771425.3582
25,000032.SZ,深桑达A,深圳,元器件,19931028,18.03,1.013,0.84,55.6196,58.9076,4.9121,4.9632,5.3214,0.4437,0.4437,41321.9661,41142.4109,16627.1829,745035.0488,741797.6685
26,000034.SZ,神州数码,深圳,综合类,19940509,18.74,2.962,1.08,17.6191,21.131,2.7577,0.1424,0.1412,1.1105,1.1105,65945.8406,49733.6653,38160.6111,1235825.0528,932008.8877
27,000035.SZ,中国天楹,江苏,环境保护,19940408,3.88,0.3255,0.84,13.7339,11.959,0.8652,0.5268,0.4503,,,252377.7297,245334.5376,185394.8695,979225.5912,951898.0059
28,000036.SZ,华联控股,深圳,全国地产,19940617,3.76,0.4226,0.66,6.8246,7.5283,1.1419,1.7609,1.622,10.6383,10.6383,148393.4025,147947.443,98660.667,557959.1934,556282.3857
29,000037.SZ,深南电A,深圳,火力发电,19940701,8.94,2.8544,1.04,216.4052,37.29,2.5432,4.4077,4.4545,0.2237,0.2237,60276.2596,33889.4011,20012.1057,538869.7608,302971.2458
30,000038.SZ,深大通,深圳,广告包装,19940808,9.32,1.7081,0.71,39.8128,22.7019,1.7092,2.6554,3.0285,,,52277.7419,23817.7966,15594.5337,487228.5545,221981.8643
31,000039.SZ,中集集团,深圳,轻工机械,19940408,17.57,5.5416,0.98,40.9566,39.3926,1.7982,0.7361,0.7198,0.6813,0.6813,359501.359,153427.1428,101566.5216,6316438.8776,2695714.899
32,000040.SZ,东旭蓝天,深圳,新型电力,19940808,2.97,2.4713,1.04,,,0.3342,0.6489,1.5117,,,148687.387,106034.067,90359.3956,441601.5394,314921.179
