,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
0,江铃汽车,000550.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,12.73,2022-04-13 00:00:00,12.68,2022-03-28 00:00:00,14.35,,,,False,,,,,,,,,,
1,西部超导,688122.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-22 00:00:00,74.14,2022-04-15 00:00:00,74.52,2022-04-01 00:00:00,88.68,,,,False,,,,,,,,,,
2,大通燃气,000593.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,5.45,2022-04-15 00:00:00,5.44,2022-03-21 00:00:00,5.92,,,,False,,,,,,,,,,
3,浙版传媒,601921.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,8.04,2022-04-15 00:00:00,7.9,2022-04-06 00:00:00,8.39,,,,False,,,,,,,,,,
4,融捷股份,002192.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,100.99,2022-04-12 00:00:00,99.8,2022-03-22 00:00:00,130.87,,,,False,,,,,,,,,,
5,安诺其,300067.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,3.68,2022-04-15 00:00:00,3.61,2022-03-21 00:00:00,3.97,,,,False,,,,,,,,,,
6,人民同泰,600829.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,6.15,2022-03-15 00:00:00,6.24,2022-03-10 00:00:00,6.89,,,,False,,,,,,,,,,
7,当升科技,300073.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-08 00:00:00,69.6,2022-04-15 00:00:00,69.46,2022-03-21 00:00:00,84.26,,,,False,,,,,,,,,,
8,爱玛科技,603529.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,34.52,2022-03-15 00:00:00,34.9,2022-03-14 00:00:00,37.15,43.93,37.15,,True,,,,,,,,,,
9,盛洋科技,603703.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,17.27,2022-04-13 00:00:00,17.18,2022-03-23 00:00:00,21.13,,,,False,,,,,,,,,,
10,倍加洁,603059.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,19.5,2022-04-15 00:00:00,19.45,2022-04-06 00:00:00,20.93,,,,False,,,,,,,,,,
