,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
0,688159.SH,有方科技,21.88,3.65,20.02,92050.0,187563663.0,19.69,21.88,18.29,18.29,18.23,4.32,14.14,-79.4,2.43,2005947351.0,1424432657.0
1,301072.SZ,中捷精工,35.02,5.84,20.01,76629.0,253077459.0,20.9,35.02,28.92,29.2,29.18,1.98,29.18,102.17,4.72,3679019096.0,919754774.0
2,300917.SZ,特发服务,38.68,6.45,20.01,150393.0,528690160.0,22.03,38.68,31.58,32.29,32.23,1.75,22.57,39.73,5.63,5028400000.0,2577055000.0
3,301013.SZ,利和兴,28.68,4.78,20.0,167867.0,464698240.0,19.58,28.68,24.0,25.0,23.9,3.27,50.49,-112.91,4.84,4469167231.0,953504056.0
4,301010.SZ,晶雪节能,33.78,5.63,20.0,138822.0,451821984.0,17.34,33.78,28.9,29.47,28.15,1.02,51.42,228.5,4.63,3648240000.0,912060000.0
5,300907.SZ,康平科技,22.33,3.72,19.99,71893.0,155486600.0,16.28,22.33,19.3,19.99,18.61,9.06,19.45,103.99,3.0,2143680000.0,825316800.0
6,300495.SZ,*ST美尚,2.11,0.35,19.89,540135.0,107352411.0,22.73,2.11,1.71,1.75,1.76,2.3,10.44,-8.94,1.05,1422729720.0,1091220136.0
7,688319.SH,欧林生物,23.66,3.34,16.44,24920.0,55224908.0,16.09,23.75,20.48,20.48,20.32,2.5,7.23,-352.25,11.43,9588569900.0,815098830.0
8,300745.SZ,欣锐科技,34.82,4.49,14.8,108546.0,361533664.0,16.42,35.38,30.4,31.5,30.33,2.88,11.2,153.83,3.7,4343957888.0,3375536596.0
9,300295.SZ,三六五网,9.85,1.15,13.22,392908.0,368747360.0,17.13,10.14,8.65,8.7,8.7,3.17,23.69,89.22,1.44,1886828885.0,1633958621.0
10,300698.SZ,万马科技,17.75,2.02,12.84,151216.0,262484995.0,14.94,18.5,16.15,16.34,15.73,4.6,15.21,-61.56,6.45,2378500000.0,1764592767.0
11,300940.SZ,南极光,26.71,2.84,11.9,218144.0,553970768.0,14.79,26.71,23.18,24.35,23.87,1.77,28.79,107.89,5.92,5061040368.0,2023960373.0
12,688261.SH,东微半导,212.0,21.91,11.53,9644.0,197966666.0,12.37,214.44,190.93,191.0,190.09,1.49,6.77,74.79,5.45,14283789804.0,3020830824.0
