,股票代码,股票名称,所属地域,行业,业绩预告发布日期,业绩预告统计日期,业绩预告类型,业绩预告摘要,预告归属于母公司的净利润增长上限(%),预告归属于母公司的净利润增长下限(%)
0,sz.000004,国华网安,深圳,互联网,2020/1/18,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:250万元至500万元,同比上年增长:112.33%至124.67%。",124.67,112.33
1,sz.000004,国华网安,深圳,互联网,2020/7/15,2020/6/30,扭亏,预计2020年1-6月归属于上市公司股东的净利润盈利:180万元至260万元。,235.49962,193.807429
2,sz.000004,国华网安,深圳,互联网,2020/10/15,2020/9/30,扭亏,"预计2020年1-9月归属于上市公司股东的净利润盈利:5,200万元至6,200万元。",723.670644,623.078605
3,sz.000004,国华网安,深圳,互联网,2021/1/30,2020/12/31,预增,"预计2020年1-12月归属于上市公司股东的净利润盈利:7,500万元至11,000万元,同比上年增长:2319.82%至3449.07%。",3449.07,2319.82
4,sz.000005,世纪星源,深圳,环境保护,2020/1/21,2019/12/31,预减,"预计2019年1-12月归属于上市公司股东的净利润盈利:3,500万元至5,000万元,同比上年下降:66.4%至76.48%。",-66.4,-76.48
5,sz.000005,世纪星源,深圳,环境保护,2020/4/18,2020/3/31,增亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:2,000万元至3,000万元,同比上年下降:12.67%至69%。",-12.67,-69
6,sz.000005,世纪星源,深圳,环境保护,2020/7/14,2020/6/30,首亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:3,000万元至4,000万元,同比上年下降:148.2%至164.27%。",-148.2,-164.27
7,sz.000005,世纪星源,深圳,环境保护,2020/10/14,2020/9/30,首亏,"预计2020年1-9月归属于上市公司股东的净利润亏损:1,500万元至2,500万元,同比上年下降:133.67%至156.12%。",-133.67,-156.12
8,sz.000005,世纪星源,深圳,环境保护,2021/1/30,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:24,000万元至44,000万元,同比上年下降:237.39%至351.88%。",-237.39,-351.88
9,sz.000007,全新好,深圳,酒店餐饮,2020/1/17,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:2,400万元至3,600万元。",118.347495,112.231663
10,sz.000007,全新好,深圳,酒店餐饮,2020/1/31,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:2,100万元至3,100万元。",115.799232,110.702706
11,sz.000007,全新好,深圳,酒店餐饮,2020/4/15,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:1,800万元至2,700万元,同比上年下降:302.52%至403.77%。",-302.52,-403.77
12,sz.000007,全新好,深圳,酒店餐饮,2020/7/15,2020/6/30,增亏,"预计2020年1-6月归属于上市公司股东的净利润亏损:3,000万元至4,500万元,同比上年下降:630.8%至996.2%。",-630.8,-996.2
