,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
0,sh.688800,瑞可达,0.2,148146615.19,65.3458052825,,16347858.75,75.09,,6.790272220741,3.02,0.149085947037,23.0866720081,电子元件,2021-07-02
1,sz.301031,中熔电气,0.36,71228694.04,202.8693831011,,17925750.94,765.89,,5.32328455122,7.01,-0.093112336513,43.4992177768,输配电气,2021-07-02
2,sz.301030,仕净科技,0.09,105114090.71,8215.3386848193,,8731141.05,155.63,,8.3491202007,1.05,0.3127267045,29.438676167,环保工程,2021-07-02
3,sz.301029,怡合达,0.17,319380941.64,105.5831204111,,61684924.12,152.61,,3.942769552472,4.44,-0.040145431889,43.0003748892,机械行业,2021-07-02
4,sz.300743,天地数码,0.074,108532407.58,24.8264420218,-15.5373,7317866.89,395.72,-7.5834,4.058365141135,1.85,-0.071248311371,24.279835763,电子信息,2021-04-27
5,sz.301028,东亚机械,0.16,226767257.98,92.6661421888,-0.9293,45918106.52,200.0,-6.7484,2.050457638458,8.21,-0.005880376596,33.3273894182,机械行业,2021-06-30
6,sz.002653,海思科,0.27,728110978.08,23.6836845161,-23.7132,287262058.71,123.76,22.8241,2.972043706916,9.43,-0.007809830911,69.2310809541,医药制造,2021-04-28
7,sh.688501,青达环保,-0.08,20430915.1,35.5025910875,,-5419068.31,-51.1535008913,,6.991769667746,-1.08,-1.033138023099,48.2926125027,环保工程,2021-06-29
8,sh.605365,立达信,0.19,1304178795.83,62.9339685504,,87411106.03,221.48,,4.249079681356,4.68,-0.226226145133,26.1929021414,家电行业,2021-06-29
9,sh.600359,新农开发,0.06,191204473.51,78.6907662607,-29.8465,22880827.01,117.66,-10.7305,1.354512843107,4.64,0.088489420487,26.2851570716,农牧饲渔,2021-04-30
10,sz.301027,华蓝集团,0.22,270229121.5,48.1385103293,,23914633.96,58.8162022614,,4.054001466606,5.5,-1.247842372595,35.4552975816,工程建设,2021-06-28
11,sz.300376,易事特,0.03,686076616.98,22.5906114044,-44.4216,76278443.66,25.04,-40.1557,2.506040142921,1.32,0.037204914326,34.401233623,输配电气,2021-04-22
12,sz.002359,北讯退,-0.193,72975697.7,20.2044744429,-22.5087,-209881131.17,2.66,72.7798,0.840997719786,-5.15,-0.010056142138,-139.5210897312,通讯行业,2021-06-26
13,sh.688793,倍轻松,0.24,214891263.85,62.4239701648,,11132709.49,190.8006858613,,5.31091777958,4.64,-0.364304885572,56.6993883544,家电行业,2021-06-25
14,sz.301026,浩通科技,0.8356,468702643.28,207.5398473367,,71023722.03,759.9248194853,,7.447421194,11.89,2.726297952353,16.3941661631,贵金属,2021-06-25
