,Date,High,Low,Open,Close,Volume
0,2020/2/3,20.53,20.53,20.53,20.53,7825
1,2020/2/4,21.71,18.55,18.55,21.49,112144.66
2,2020/2/5,22.39,21.26,21.34,21.95,93866.64
3,2020/2/6,24.15,21.86,21.86,24.15,119070.44
4,2020/2/7,26.57,24.25,24.25,26.57,181043.91
5,2020/2/10,28.97,26.2,28.97,26.29,233842.39
6,2020/2/11,27.86,26.34,26.34,26.82,157905.77
7,2020/2/12,27.58,25.6,25.63,27.23,130879.59
8,2020/2/13,29.88,25.81,26.85,27.49,207825.96
9,2020/2/14,27.91,26.6,27.19,26.92,134562.13
10,2020/2/17,27.64,26.7,26.98,27.6,130378.5
11,2020/2/18,30.16,27.8,27.8,29.68,182420.9
12,2020/2/19,29.4,28.49,29.18,28.57,129716.26
13,2020/2/20,28.99,27.66,28.69,28.81,109231.6
14,2020/2/21,29.36,28.11,28.52,28.51,110054.03
15,2020/2/24,28.98,27.96,28.1,28.88,98251.05
16,2020/2/25,28.62,26.8,28,28.19,126420.71
17,2020/2/26,29.64,27.33,27.78,28.58,132749.54
18,2020/2/27,31.08,28.13,29,31.06,189219.32
19,2020/2/28,31.8,27.95,29.91,27.95,190108.08
20,2020/3/2,30.3,27.53,27.6,29.66,129313.04
21,2020/3/3,31.23,29.6,30.25,29.62,117575.38
22,2020/3/4,30.5,28.06,29.89,29.06,115099.92
23,2020/3/5,29.63,28.32,29.63,28.91,83943.42
24,2020/3/6,28.59,26.91,28.39,27.2,148284.84
25,2020/3/9,26.46,24.48,26.35,25.51,101029.3
26,2020/3/10,19.49,18.02,18.8,19.4,106381.06
27,2020/3/11,19.37,18.27,19.19,18.28,111236.4
28,2020/3/12,18,16.8,17.83,17.44,100796.64
29,2020/3/13,17.23,16.32,16.41,16.9,91176.82
30,2020/3/16,17.44,15.85,17.02,16.05,107477.9
31,2020/3/17,16.78,15.23,16.35,16.49,96736.02
32,2020/3/18,17.02,16.11,16.68,16.23,101767.29
33,2020/3/19,16.91,16.1,16.3,16.88,89543.04
